target,f1,f2,f3,f4,f5,f6
32.7,104.5,846.7,-20.1,25,22,345
27.1,245.1,4744.7,-107,45,48.3,1550.5
49.2,93,304.3,-31.6,116,17.1,174.7
47.6,130.1,705.2,-55.3,42,26.2,321.1
24.2,67.3,120.6,-18.1,8,10.5,76.5
43,27.3,0.5,-4.3,92,3.3,0.5
36.6,134.3,607.9,-54.2,27,24.7,275.4
0,97.6,385.3,-21.3,34,20.9,152.4
0,155.5,677.9,-65.4,61,27.3,212.9
38.4,133.9,799.6,-51.6,48,27.2,353.9
47.1,92.8,292.6,-33.8,31,17.9,162.6
0,191.8,2999.3,-107.9,87,40.7,1082
0,63.6,94.1,-23.6,34,10.1,58.6
19.7,54,42.8,-7.2,10,7.9,31.7
45.6,126.4,705.4,-53.2,70,26.2,321.1
0,88.3,358.9,-35.2,40,17.5,186.8
47.3,117.4,528.5,-43.4,99,20.9,253.4
33.5,89.4,281.3,-28.2,95,15.6,152.1
42.8,50.6,28.7,-12,47,6.7,22.4
14.6,90.2,174.8,-41.3,30,18.3,93.1
0,86.5,156.8,-31.8,77,12.5,88.9
45.5,67.8,128.1,-15.4,31,9.6,80.4
34.1,242.4,2758.3,-129,83,54,887
44.9,142.6,792.4,-71.9,58,32,346.6
36.6,80.7,94.3,-29.6,21,13.8,55.4
0,58,60.3,-11.5,12,8,31.6
0,80.9,230.2,-23,17,14.5,135.7
42.5,99.1,351.5,-44.6,129,20.8,169.1
15.8,42.1,21.7,-10.5,20,5.4,16.5
0,73.8,120.1,-16.1,26,14.5,76.8
44.7,99.8,364.3,-43.9,117,20.8,169.1
15.4,42.1,21.8,-10.4,20,5.4,16.5
46.7,45.1,40.7,-13.6,23,7.2,34
45.7,232.9,2796.2,-92.1,72,46.8,927.6
26.4,94.6,100.3,-16.6,47,15.4,58.7
0,58.5,46.7,-20.3,46,9.5,34.4
49.6,73.7,95.3,-11.5,26,10.2,51.6
19.3,38.7,22,-10.3,21,5.4,16.5
44.7,92.6,287.2,-33.1,35,17.9,162.6
22.8,141.9,595,-66.9,158,30.5,261
38.5,122.7,576.4,-22,37,22.3,282.2
34.9,85.1,263.2,-23.2,30,15.6,136.4
31.3,93.3,267.7,-23.6,31,15.6,136.4
0,145.1,1703.5,-87.3,40,33.9,734.1
20.1,68.2,52.5,-14.6,8,7.9,29.2
30.9,88,275,-19.1,45,15.6,136.4
0,86.3,219,-37,17,14.7,101.8
32.7,132.6,461.8,-57.5,48,27.3,206.1
29.2,126.3,795.5,-47.7,37,27.2,353.9
25.5,118.9,1145.3,-42.7,43,23.5,490.5
34.2,80.7,143.2,-19.6,91,12,80.9
0,183.3,1757.9,-123.9,45,43,663.5
30,137.2,1434.2,-61.8,179,30.8,605.7
25,68,125.7,-18.5,12,10.5,76.5
38.1,101.4,262.9,-32.4,24,17.4,141.5
23.7,75.2,92.7,-30.9,20,13.8,55.4
40.3,75.9,41.8,-16,29,8.6,20.5
36,53.5,41.4,-24.2,12,7.9,29.2
0,133.7,1908.5,-89.8,252,35,794.5
14.9,119.6,740.6,-29.1,26,24.9,363
30.6,129,600,-55.9,26,24.7,275.4
20.6,56,76.1,-18.9,75,10.4,45.7
37.6,101.3,321.2,-34.1,76,17.6,192.2
0,81.8,82.8,-40.4,16,13.7,39.9
24,111.7,1120.6,-30.7,54,23.5,490.5
30.8,109,377.9,-30.9,41,19.6,199.7
16.4,83.7,94,-26.7,98,13,49
46.6,78.8,89.9,-14.2,21,10.2,51.6
0,129,593.8,-67.1,42,28.1,254.1
0,127.1,888.4,-62.4,52,30.2,389.1
35.6,260.7,2555.1,-74.8,94,53.7,835
0,129.3,816,-68.2,62,26.5,329.2
31.5,112,798.8,-57.2,37,27.2,353.9
24.5,66.6,49.5,-20.5,28,10.7,34.6
0,211.8,3245.7,-137.6,323,48.2,1098.3
20,38.2,14.5,-10.1,42,5.2,13.3
36.3,84.5,110.7,-31.8,36,15.6,65.4
43.4,80,90.2,-28.6,27,13.8,55.4
0,45.3,34,-10.7,43,6,24.3
31.5,42.7,20.1,-10.8,5,6.3,16.6
0,68.5,43.6,-26.4,19,11.1,27.2
17.9,116,341.2,-37.2,51,23.4,158.1
34.6,239,2766.5,-96.7,105,53.7,835
0,78,161.9,-26.4,22,13.7,81
19.8,63.3,53,-20.7,7,7.9,29.2
43.1,136.7,776.5,-54.3,32,26.2,321.1
0,127.6,684.9,-44.6,38,26.4,268.1
0,107.1,207.7,-23.3,21,11,65.5
31.8,128.3,836.6,-29.9,30,22,345
17.6,118,346.2,-28.6,22,23.4,158.1
25.6,138.7,668.1,-38.1,49,22.4,219.2
35,136.7,801.1,-54.5,45,27.2,353.9
0,143.7,1731.2,-63.3,86,32,652.2
14.3,89.9,172,-42.5,35,18.3,93.1
37.8,100.4,520,-26.4,37,18.8,259.9
17.6,82.3,94.7,-28.1,97,13,49
0,228.8,4148.7,-128.1,95,50.9,1331.3
40.3,67.6,72.5,-24,158,10.9,48.6
15.9,71.7,56.2,-18.4,16,7.9,29.2
0,133.9,1588.3,-61.3,65,30.6,709
40.2,54.1,42.7,-17.5,21,8.5,34.3
0,128.3,1461,-60,61,31.7,640
35,89,240.5,-29.4,24,15.4,125.2
0,108.3,473.8,-53,60,20.1,231.6
15.4,39.3,21.7,-11.3,20,5.4,16.5
0,48.8,32.3,-17,11,7.2,22.6
48.5,86.3,293.6,-20,35,13.2,151.3
0,40.9,23.1,-10.4,22,5.4,16.5
47,114.2,392.7,-39.9,110,20.5,175.1
22.1,206.4,1738.2,-54.9,101,44.9,553.7
20.4,39.5,14.4,-10,42,5.2,13.3
0,114.1,333.8,-38.9,24,16.8,121.1
32.5,86.8,258.3,-24.2,28,15.6,136.4
0,128.6,958.5,-64,44,25.9,414.6
21,38.4,14.4,-10.1,42,5.2,13.3
34.8,95.9,261,-34,27,17.4,141.5
21.3,39.6,14.7,-9.5,42,5.2,13.3
37.3,52.1,31.4,-11.8,37,6.7,22.4
0,145.8,1128.3,-88.5,60,33.8,472.3
0,133.2,1373.4,-59.7,176,27.9,562.6
31.7,107.3,378.8,-40.8,112,20.5,175.1
22.1,54.7,42.2,-14.9,122,8.8,31.8
46.3,99.4,363,-38.2,43,19.6,199.7
0,113.7,555.7,-63,122,23.7,267.9
42.7,61.6,76.7,-22,18,10.2,51.6
35.4,143.9,678.1,-34,58,22.4,219.2
47.7,233,2781.4,-97.2,71,46.8,927.6
16.8,68.6,54.1,-21.7,8,7.9,29.2
21.6,163.2,1376.2,-90.7,83,44.9,553.7
27.7,105.6,492.7,-50.1,26,21.6,267.7
20.3,136.9,456.2,-24.8,42,23.4,158.1
40.9,216.8,5142,-124.4,133,54,1806.7
32.5,90.1,124.3,-26.7,93,13.6,61.9
0,80.6,296.5,-39.7,42,17.9,162.6
41.2,170.6,1900.6,-66.8,53,39,745.9
36.9,92.7,267.2,-34.2,45,17.4,141.5
0,72.3,137.3,-23.7,28,12,81.3
0,70.6,118.1,-41.4,27,11.5,80.3
47.7,126.5,463.7,-59.3,63,27.3,206.1
32.8,93.9,272.5,-29.2,94,15.8,140.3
0,155.8,2463.5,-67.6,64,36,872.5
22.3,64.1,51.8,-23.8,57,7.9,29.2
29.7,85.9,268.2,-25.4,33,15.6,136.4
0,155,1280.4,-84.1,251,32.5,573.9
0,167.5,590.8,-116,90,35.4,233
0,83.6,217.7,-34.2,73,15.6,121.1
35.6,74.8,48.9,-19.6,19,8.6,20.5
40.3,111.1,433,-33.7,20,19.6,188.5
46.3,95.2,378.3,-35.8,52,18,205.4
38.7,44.6,30.6,-12.5,31,7.1,24.9
45.9,99,363.9,-48.3,35,19.6,199.7
41.6,225.7,5163.7,-109.2,113,54,1806.7
0,90.6,236.1,-36.4,24,15.8,125.8
34.6,52.2,35.3,-7.9,49,5.1,13.2
34.8,131.4,898.9,-55.8,62,25.4,388.5
0,166.6,1371.4,-84.5,83,37.5,542.6
0,112.1,812,-71.8,140,25.3,397
22.1,124,737.3,-37.8,29,24.9,363
24.6,245.5,4716.9,-138,35,48.3,1550.5
10.1,24.8,0.5,-5.6,6,3.3,0.5
38.2,87.2,115.1,-33.3,42,15.6,65.4
29.3,106.3,275.2,-42.1,38,21.4,146.9
24.9,130.2,1143.1,-31.8,39,23.5,490.5
25,91.2,101.7,-22.9,33,15.4,58.7
0,59.3,76.4,-36.1,11,10.8,48.7
32.1,135.4,516.8,-28.7,44,23.4,246.4
35.7,195.5,1615,-89.1,88,38.8,629
22,45.9,41,-13.7,15,7.9,31.7
32.7,101,492.9,-51.2,42,21.6,267.7
21.7,135.6,1396.6,-57.2,31,31.5,584.4
41.2,254.4,2813.9,-115,83,54,887
45.5,104.4,287.1,-38,73,21.4,146.9
39,76.4,157.8,-27.3,74,13.4,97
22.6,128.3,1151.7,-29.8,43,23.5,490.5
24.6,103.6,591.2,-45.4,98,21.7,290.4
0,112.2,919.7,-49.3,41,23,424.1
47.9,201.8,1831.3,-42.4,78,40.3,674.6
0,67.7,76.6,-42.1,12,10.9,48.4
40.4,87,111.3,-30.8,37,15.6,65.4
17.5,55.4,41.5,-15.5,123,8.8,31.8
38.3,49.9,32.8,-11.6,29,7.1,24.9
0,118,538.1,-39.8,34,23.5,246
14.6,39.7,22,-11.5,22,5.4,16.5
0,124,752.3,-60.7,76,24.8,353.8
43.3,92.9,136.2,-28.4,16,14.8,72.9
29.6,43.6,20.6,-10.6,7,6.3,16.6
23.7,61.2,49.6,49.1,29,8.5,34.3
44.5,160.7,1928.5,-95.4,53,39,745.9
26.4,131,798.4,-70.2,42,27.2,353.9
37.7,51.9,43.7,-14.9,20,8.5,34.3
33.8,112.5,431.4,-21.4,68,22.3,205.9
24,100.8,103.7,-18.9,39,15.4,58.7
16.4,81.3,119.9,-25.6,83,12.8,69.3
49.1,55.6,106.3,-20.1,33,10.2,76.4
0,86.3,95.4,-21.6,44,13.4,48.7
34.7,183.5,1616.4,-115,87,38.8,629
40.9,184.5,2028.3,-85.8,51,39,745.9
0,132.2,821.9,-99.2,102,33,371.5
46.7,144,792.8,-72.7,66,32,346.6
22.3,161.1,1375.6,-92.4,83,44.9,553.7
0,129.1,660.4,-80.6,60,28.6,290.1
26.1,68.7,93,-32.1,22,13.8,55.4
0,77.5,94.5,-19.7,14,14.1,58.4
11.4,57.6,47.9,-13.2,20,8.5,34.3
7.6,91.5,169.3,-43.2,37,18.3,93.1
14.6,121.8,737.9,-44.1,21,24.9,363
42.3,103.2,351.2,-44.7,125,20.8,169.1
0,99.7,221.8,-46.8,33,18.4,121
0,181.1,2199.4,-112.8,80,38,722.6
0,81.6,104.6,-34.6,12,11.4,54.9
44.1,103.6,308.5,-30,99,17.1,174.7
0,97.5,321.4,-54.8,44,16.5,169
46.9,63.8,74.4,-21.5,158,10.9,48.6
33.1,70.6,96,-25.2,19,12.3,62.1
47,49.1,30.2,-12.3,42,6.7,22.4
44.6,131.4,524.3,-61.2,56,28.8,233.4
26.7,95.5,166.8,-38.4,88,17.2,97.3
36.2,120,875.2,-22.8,18,22,345
38.2,81.3,95.3,-28.9,19,13.8,55.4
47.1,141,1024.3,-56.9,150,28.1,406.1
0,53,45.1,-18.8,15,9.7,32.2
29.5,138.1,1413.3,-47.1,49,31.5,584.4
29.1,137.2,1418.9,-52.8,41,31.5,584.4
0,167.3,1977.5,-108.9,318,38.8,746
21.1,40.1,14.6,-9.6,42,5.2,13.3
43.4,55.9,17.8,-14.3,15,7.6,14.7
38,109.4,272.1,-5.8,34,16.6,111.1
30.7,50.8,30.7,-11.8,38,6.7,22.4
26.8,53.5,44.5,-11,20,8.8,29.2
43.9,95.7,271,-13.8,22,16.6,141.4
35.1,56.8,41.2,-14.8,124,8.8,31.8
0,127.4,758.3,-56.9,32,24.2,306
42.1,103.7,573.7,-37.8,48,22.3,282.2
33.8,218.8,4110,-83.7,62,47.3,1412.5
38,204.4,1921.1,-45.6,90,40.3,674.6
32.7,157,1150.5,-45.7,70,27.1,442.6
0,78.3,74.8,-21.9,7,9.7,40
43.3,51.4,44,-16.6,13,7.9,29.2
11.5,24.1,0.5,-6.7,8,3.3,0.5
27.2,78.6,92.3,-31,18,13.8,55.4
46.3,77.6,47.1,-27.6,27,13.1,27.1
30.4,92.6,275.2,-32.8,27,19.4,152.1
29,146.9,527.6,-26.6,38,23.4,246.4
0,127.7,749.4,-61.7,26,23,328.8
16.1,83.1,120.5,-26,89,12.8,69.3
14.6,38.5,21.5,-11.7,22,5.4,16.5
19.7,40.1,14.5,-9.6,42,5.2,13.3
34.8,128.6,523.8,-50.9,16,21.5,218.8
15.6,39.9,21.9,-11.5,20,5.4,16.5
26.8,94.1,227,-22.5,11,16.6,111.1
16,74.3,56.9,-12.6,16,7.9,29.2
27.3,129.4,744.7,-42.3,26,24.9,363
0,45.5,9.2,-6.7,7,5.3,7.2
46.9,78.5,70.4,-20.2,36,10.8,42.8
22.1,126.9,746.9,-33.8,25,24.9,363
23.2,59.8,76.8,-17.4,72,10.4,45.7
0,67.9,40.9,-25.7,73,10.1,24.9
13.2,24.8,0.5,-6,8,3.3,0.5
33.1,74.7,141,-23.6,96,12,80.9
36.6,104.3,491.2,-44.9,26,21.6,267.7
36.7,64.8,73.9,-14.6,36,9.3,54.5
24.7,199.5,2439.2,-119,98,53.7,835
13.7,103,678.4,-55.4,143,24.7,337.3
25.4,133.6,904.7,-40.1,44,25.4,388.5
0,109.8,435.8,-68.4,191,23,206.1
45.1,143.4,1081.9,-75.8,55,32.2,461.9
20.2,63.8,133.9,-16.1,16,9.6,80.4
20.2,81.2,261.7,-31.1,32,15.6,136.4
0,147.2,1346.4,-84.5,44,31.1,492.5
23.7,101,104.5,-14.9,32,15.4,58.7
0,97.6,648.1,-53.2,33,22,320.3
31,132.8,757,-34.9,35,24.9,363
0,46.5,11,-5.3,14,6.7,7.4
0,132.5,892.5,-76.6,51,26.7,388.9
0,190.6,1868.8,-110.5,92,43.9,652.1
25.7,58.5,73.7,-16.7,54,9.3,54.5
0,113.5,801.3,-81.4,166,27.9,379.8
23.8,58.6,76.7,-18.3,76,10.4,45.7
48.8,57.6,111.1,-18.7,41,10.5,76.5
42.6,144.8,960.7,-57.3,51,29.4,424.9
44.2,44.8,25.8,-12,38,6.7,22.4
25.2,162.1,1160,-48.1,63,27.1,442.6
36,109.5,861.4,-34,33,22,345
46.6,89.4,290.6,-33.7,35,17.9,162.6
49.3,52.6,47.7,-12.5,17,7.2,34
0,145,1041.7,-18.8,50,33.9,443.9
50,93.6,125.9,-25.4,75,13.6,61.9
0,112,354.4,-58.6,41,27,164.3
42.3,96,277.7,-29.2,100,15.8,140.3
48.3,87,172.8,-27.2,77,14.2,84.4
32.4,84.1,171.1,-29,83,14.2,84.4
20.2,50.4,38,-11.5,13,7.9,31.7
42.6,127.3,558,-35,64,22.4,219.2
42,92.4,204.5,-34.6,89,16.3,116.2
0,79.3,88.8,-35.7,14,12.9,52.1
0,56,11,-8.3,24,6.6,6.3
43.5,62.6,66.5,-27.1,21,11.9,39.5
27.8,78,139.3,-21.3,43,12,80.9
20,136,417.7,-28.5,50,23.4,158.1
15.7,40.4,22,-9.7,20,5.4,16.5
0,175.5,1901.5,-99.7,322,37.4,663.3
26.5,92.4,100.3,-13.8,29,15.4,58.7
32.2,114.1,504.8,-54.4,24,21.6,267.7
0,111,760.5,-75,46,24.4,370.6
0,61.5,91.4,-21.2,7,10.5,58.1
18.9,121.7,747.5,-43.8,27,24.9,363
27,132.2,514.5,-27.7,44,23.4,246.4
26.6,119,461.6,-49.7,21,21.5,218.8
17.4,45.5,28.2,-13.9,52,6.7,22.4
0,110,702.5,-61.3,110,22.3,320.9
0,73.3,70,-33.4,15,12.1,39.7
30.5,206.8,2448.6,-129,82,54,887
0,98.7,350.1,-38.2,32,20.4,193.4
44.6,100.7,271.9,-28.2,77,15.8,140.3
49.2,106.4,384.2,-38.7,110,20.5,175.1
0,96.3,292.2,-34,24,17,146.7
0,157.2,1684.8,-79.1,59,39,629.4
0,93.1,726.4,-49.3,36,21.6,345.4
0,71.4,179.7,-40,2,11,80.6
0,66.6,53.6,-21.4,5,8.2,24.4
22.8,59.4,76.7,-18.2,74,10.4,45.7
47.6,110.1,580,-37.3,34,22.3,282.2
0,138.7,705.8,-56.2,45,27,313
0,106.5,534,-55.2,43,21,238.3
23.7,58.9,49.2,169,29,8.5,34.3
0,151,669.8,-42.1,40,22.9,260.3
15.5,63.1,54.3,-23.8,16,7.9,29.2
41.1,156.5,1417.6,-35.1,63,31.5,584.4
26.9,46.7,39.4,-12.1,13,7.9,31.7
39.9,53.6,22.4,-16.3,18,8.2,18.5
0,111.7,649.6,-64.1,156,22.2,329
47.6,78.1,91.8,-10,24,10.2,51.6
0,122,411.4,-61.4,36,21.6,175.4
19.9,138.1,1395.1,-48.5,47,31.5,584.4
34.1,81.2,53.3,-13.6,29,8.6,20.5
32.2,129.5,606.6,-51.3,24,24.7,275.4
44,88.7,286.5,-34.1,36,17.9,162.6
0,116,395.4,-56,60,22.9,212.7
0,134,613.6,-83.7,147,31.4,283.6
0,63.7,24.6,-13.1,8,6.8,13
34.9,93.9,257.5,-33.6,33,17.4,141.5
45.1,142.9,652.7,-21.4,61,22.3,282.2
37.2,96.2,258.2,-33.9,25,17.4,141.5
0,102.5,399.9,-52.2,32,19.2,186.5
45.5,96.8,298.4,-31.9,106,17.1,174.7
0,95.3,251.8,-28.4,29,18.6,141.4
29.9,111.3,268.1,-41.4,41,21.4,146.9
25.4,160.7,1153.5,-38.9,51,27.1,442.6
0,80.1,124.6,-33.7,24,16.9,69.5
27.5,132.4,908.7,-45.8,41,25.4,388.5
42.2,136.9,526.7,-61.2,48,28.8,233.4
29.6,126.8,744.5,-42.4,26,24.9,363
34.8,26.5,0.5,-5.6,6,3.3,0.5
46.6,47.4,24.1,-8.4,44,5.1,13.2
41.7,89.1,205.8,-35,92,16.3,116.2
0,124.6,1094.1,-55.1,21,28.4,461.7
37,66.3,104.4,-31.8,16,10.9,68.9
26.1,74.2,52.4,-23.8,23,8.6,20.5
39.3,89.5,113.2,-31.4,52,15.6,65.4
18,113.8,322.3,4.1,40,23.4,158.1
10.6,25.9,0.5,-3.4,6,3.3,0.5
16.1,41.8,21.9,-9.2,20,5.4,16.5
17.3,78.2,94.8,-29.8,96,13,49
47.7,143.9,950.6,-59.1,58,29.4,424.9
0,199.2,3010.5,-84.6,80,44.5,1010.2
24.9,150.8,1178.8,-66.1,55,27.1,442.6
15.3,41,22.5,-10.8,20,5.4,16.5
0,72,215.3,-27.8,186,14.6,130.8
0,141.6,1353,-94.7,206,31.2,573.1
26.9,238.7,4701.4,-124,50,48.3,1550.5
26.3,94.4,395.4,-18,11,19.6,188.5
0,192.6,2607.8,-119.5,262,42.4,940.8
25.3,82,117.5,-25.3,86,12.8,69.3
0,76.8,124.7,-30.3,10,13.3,80.3
35.5,97.1,125.9,-25.8,85,13.6,61.9
37.3,87,110.6,-32,29,15.6,65.4
48.2,181.6,2024.3,-79.5,61,39,745.9
30.6,41.6,19.3,-10.8,4,6.3,16.6
43.2,111.9,423,-24.5,28,16.6,141.4
45.9,99.4,341.5,-34.4,92,17.6,192.2
12.1,60.6,51.9,-14.6,21,8.5,34.3
21.1,110.7,736.1,-54.4,19,24.9,363
35.3,45.3,32.9,-12.2,36,7.1,24.9
0,81.6,103.8,-28.2,52,13.2,65.8
28.2,222.7,4143.1,-69.4,68,47.3,1412.5
0,127.6,623.8,-56.8,46,23.7,274.6
21,192.1,1507,-90.3,74,44.9,553.7
37,253.6,4747.6,-113,52,48.3,1550.5
38.8,71.1,40.4,-22.8,70,10.1,24.9
0,106.4,341.5,-55.3,66,18.4,169.1
25.1,117.5,447.4,-31.1,46,22.3,205.9
28.1,85.6,249.4,-31.6,38,15.7,151.9
43.2,82.5,93.8,-28.5,23,13.8,55.4
49.1,142.2,786,-71.2,80,32,346.6
42.4,89.8,124.6,-24.4,57,13.6,61.9
16.1,114.1,735.3,-53.4,26,24.9,363
0,101.2,87.7,-25.1,19,13.8,40
35.8,85.4,94.7,-29.5,100,13,49
42.5,83.5,46,-26.8,26,13.1,27.1
18.5,51.5,34.2,-7.9,50,5.1,13.2
44.8,59,109.8,-17.9,32,10.2,76.4
45.2,58.1,111.3,-19.6,25,10.2,76.4
17.4,97.6,203.4,-24.9,69,16.3,116.2
40.3,24.7,0.5,-4.9,94,3.3,0.5
37,124.3,922.2,-49.2,63,25.4,388.5
30.1,130.8,596.6,-53.8,25,24.7,275.4
22.2,73.1,94.8,-24.8,13,12.3,62.1
35.1,94.4,262.6,-33.7,29,17.4,141.5
46.5,78.2,46.3,-27.4,31,13.1,27.1
23.4,103.3,103.3,-23.2,36,15.4,58.7
0,135,1162.5,-69.8,48,33,462.7
30.2,118.7,752.2,-43.5,25,24.9,363
0,54,121.5,-18.6,10,9.3,84.2
31.7,206.9,2406,-61.4,98,53.7,835
44.1,87.5,97.7,-27.4,15,13.8,55.4
43.7,90.8,171.2,-37,39,18.3,93.1
16.5,122.4,734.3,-38.6,29,24.9,363
26.7,215.2,2423.1,-105,104,53.7,835
20.3,58.6,72.3,-16.5,50,9.3,54.5
26.8,48.4,30,-12.2,44,6.7,22.4
35.6,114.2,270.6,-7.6,35,16.6,111.1
42.8,235.4,5217.2,-113.9,143,54,1806.7
0,144.3,576.8,-65.9,47,30.2,253.7
43.5,138.8,620.8,-27.3,56,22.3,282.2
40.4,77.8,95.4,-28,38,13.8,55.4
42.1,23.8,0.5,-5.6,92,3.3,0.5
28.5,116.2,783.3,-74.1,40,27.2,353.9
43.1,91.9,136.3,-28.6,16,14.8,72.9
0,130.4,1197.5,-59.8,48,26.1,451.7
33.2,240.8,2558.9,-78.4,92,53.7,835
41,60.6,112.1,-18.7,14,10.2,76.4
16.7,114.1,737.6,-52.9,24,24.9,363
31.1,147.7,1425,-38.8,46,31.5,584.4
0,135,623.3,-71.4,13,18.7,192.8
49.8,78.1,125.5,-27.8,88,13,69.4
11.1,59.8,46.8,-10.1,22,8.5,34.3
25.5,54.9,35.5,-7.5,46,5.1,13.2
43.6,27.6,0.5,-3.9,92,3.3,0.5
22.1,38.2,14.8,-9.9,42,5.2,13.3
0,118.5,265.9,-60.1,37,19.2,120.8
0,104.3,579.4,-43,23,22.1,282.4
46.5,86.1,195.7,-27,90,15.1,102.3
30.6,94.1,274.4,-29.1,91,15.8,140.3
0,161.6,1136.3,-75.1,72,37.8,473.1
0,72.1,82.4,-21.4,16,11.7,45.7
40.3,90.2,280.3,82.2,29,16.6,141.4
20.3,137.1,474.6,-20.9,51,23.4,158.1
10.5,57.8,47.7,-14.6,21,8.5,34.3
0,270.9,10059.5,-205.8,198,71.5,3004.2
34.7,72.2,156.6,-26.4,70,13.4,97
0,69.8,41.2,-33.3,47,11.2,29.2
0,218.7,980.1,-78.2,92,43.6,330.5
48.5,96.3,360.2,-46,42,19.6,199.7
0,290.2,8140.5,-183.9,186,75.3,2064.8
30.9,84.2,514.3,-33.6,36,18.8,259.9
12.1,58.3,47.7,-9.1,23,8.5,34.3
0,165.4,1424.6,-107.1,309,38.7,542.8
37.6,108.7,393.4,-39.3,26,19.3,211.8
46.4,106.5,274.6,-44.1,56,21.4,146.9
38.7,97.9,266.2,-33.5,32,17.4,141.5
37.4,93,113.3,-29.5,34,15.6,65.4
17,66.8,92.5,-33.1,16,13.8,55.4
38.5,90.2,279,-23.5,19,16.6,141.4
